cliente_id,data_cadastro,plano,tempo_como_cliente_meses,numero_produtos,tickets_abertos_ultimo_mes,tickets_resolvidos,nps_score,uso_medio_mensal_horas,atraso_pagamento_dias,desconto_recebido,canal_aquisicao,regiao,churn
CLI00001,2022-08-10,Starter,41,2,1,1,50,22.88,1,0,Indicação,Sul,0
CLI00002,2024-11-10,Starter,13,2,1,1,72,10.17,2,1,Google Ads,Sul,1
CLI00003,2022-05-26,Starter,43,2,0,0,76,10.58,1,0,Google Ads,Sudeste,0
CLI00004,2023-04-15,Starter,33,3,4,4,85,41.78,5,0,LinkedIn,Sudeste,0
CLI00005,2024-02-15,Starter,22,3,4,3,82,55.04,2,1,Inbound,Sudeste,0
CLI00006,2024-08-12,Starter,16,4,1,1,91,22.13,0,0,Evento,Nordeste,0
CLI00007,2023-05-18,Starter,31,5,2,2,57,34.65,2,0,Evento,Norte,0
CLI00008,2023-07-24,Enterprise,29,2,1,1,48,25.99,3,0,Indicação,Centro-Oeste,0
CLI00009,2024-12-03,Starter,13,3,2,1,78,36.04,3,0,Indicação,Sul,0
CLI00010,2021-12-17,Pro,49,3,1,1,100,22.75,1,1,Indicação,Nordeste,0
CLI00011,2022-11-09,Enterprise,38,2,2,1,78,46.06,2,0,Indicação,Sudeste,0
CLI00012,2023-08-21,Starter,28,2,1,1,41,36.68,2,0,Google Ads,Centro-Oeste,0
CLI00013,2023-12-04,Starter,25,5,0,0,89,40.28,6,0,Indicação,Norte,0
CLI00014,2023-07-23,Starter,29,1,0,0,84,38.17,3,0,LinkedIn,Sul,0
CLI00015,2022-11-21,Pro,37,5,3,3,95,43.31,1,0,Indicação,Sudeste,0
CLI00016,2021-05-17,Starter,56,4,1,1,75,30.05,1,0,Indicação,Sudeste,0
CLI00017,2025-11-26,Starter,1,1,5,2,26,8.08,6,0,LinkedIn,Sul,1
CLI00018,2025-06-15,Pro,6,1,4,2,3,1.79,21,0,LinkedIn,Sudeste,1
